#{"t_start": 1619615257.0356133, "env_id": null}
r,l,t
-4989.9,60,0.849374
-4931.91,60,0.918454
-4940.92,60,0.982277
-5128.63,60,1.053286
-4851.12,60,1.554449
-4995.03,60,1.623463
-5070.61,60,1.684477
-5152.59,60,1.759502
-5079.71,60,1.86551
-4992.62,60,1.920537
-4980.55,60,1.970539
-4999.03,60,2.028551
-5045.36,60,2.124735
-5018.46,60,2.177586
-4989.22,60,2.228737
-5035.24,60,2.28375
-4942.31,60,2.402762
-5070.08,60,2.587804
-5162.39,60,2.681823
-5147.86,60,2.789849
-5131.66,60,2.84587
-5034.34,60,2.951883
-5057.49,60,3.007907
-5102.72,60,3.062919
-4959.88,60,3.121932
-5216.01,60,3.222944
-5073.3,60,3.277967
-5086.33,60,3.33398
-5167.96,60,3.393983
-5230.46,60,3.497006
-4894.15,60,3.553019
-5042.89,60,3.612031
-5053.0,60,3.666046
-5119.1,60,3.727057
-5073.82,60,3.825081
-5045.78,60,3.881092
-5035.69,60,3.938107
-5028.76,60,3.992118
-4974.33,60,4.089156
-5158.47,60,4.151156
-4973.74,60,4.209167
-5132.84,60,4.26318
-5076.19,60,4.365201
-5023.76,60,4.418214
-5011.75,60,4.474236
-4972.62,60,4.526239
-5021.94,60,4.617259
-5070.09,60,4.66928
-5047.08,60,4.722292
-5063.09,60,4.775304
-5071.8,60,4.832317
-5098.86,60,4.923338
-5050.3,60,4.975349
-5008.22,60,5.026351
-5126.13,60,5.07946
-4988.34,60,5.174396
-4999.45,60,5.228577
-5033.54,60,5.279418
-5003.4,60,5.331419
-5134.11,60,5.42344
-4967.47,60,5.479463
-5198.6,60,5.529474
-5095.91,60,5.585478
-5001.99,60,5.638499
-5044.52,60,5.73151
-4969.88,60,5.784647
-5130.97,60,5.841558
-5034.93,60,5.893556
-4995.82,60,5.985577
-4922.76,60,6.037589
-5136.22,60,6.091601
-5051.79,60,6.142613
-4987.34,60,6.234633
-4960.97,60,6.286635
-5104.14,60,6.342647
-5036.74,60,6.393675
-5012.41,60,6.493698
-5016.35,60,6.553711
-4978.0,60,6.616712
-4861.8,60,6.686727
-4960.55,60,6.756742
-5017.38,60,6.876771
-4899.54,60,6.9348
-4962.1,60,7.011918
-5053.42,60,7.078816
-4950.83,60,7.217862
-5043.07,60,7.290878
-4882.79,60,7.364878
-5092.91,60,7.428909
-4951.74,60,7.542019
-5087.33,60,7.621065
-4951.57,60,7.683966
-4980.9,60,7.754968
-4860.96,60,7.852988
-5048.21,60,7.911017
-4931.08,60,7.974018
-4928.66,60,8.041047
-4844.82,60,8.114047
-4899.59,60,8.236079
-4987.81,60,8.294104
-4893.55,60,8.36812
-4961.42,60,8.428134
-4868.51,60,8.563164
-5045.0,60,8.629179
-5065.59,60,8.695179
-5084.74,60,8.764193
-4968.59,60,8.885237
-5066.64,60,8.946237
-4971.56,60,9.009265
-4983.72,60,9.084282
-4977.5,60,9.198307
-5031.47,60,9.25432
-4939.14,60,9.310333
-5034.16,60,9.368433
-4924.69,60,9.433444
-5229.06,60,9.551387
-4977.14,60,9.620396
-4991.02,60,9.672398
-4852.01,60,9.723419
-4942.85,60,9.817441
-5005.21,60,9.870452
-5058.3,60,9.922453
-4995.03,60,9.973478
-5092.28,60,10.070688
-5093.4,60,10.123509
-5074.75,60,10.174521
-5109.14,60,10.225532
-5028.85,60,10.276534
-4881.18,60,10.369554
-5029.0,60,10.420576
-5010.36,60,10.472588
-5027.11,60,10.5246
-4904.34,60,10.618646
-5005.95,60,10.679624
-5139.73,60,10.738637
-4955.87,60,10.79266
-4968.58,60,10.886672
-4867.85,60,10.937693
-4935.36,60,10.990705
-4913.49,60,11.040716
-4898.8,60,11.153748
-4987.32,60,11.213745
-4962.31,60,11.274775
-4932.86,60,11.34179
-4944.34,60,11.40479
-4968.2,60,11.51983
-4924.88,60,11.586831
-4804.17,60,11.653861
-4915.97,60,11.718875
-5046.44,60,11.826886
-5127.63,60,11.913909
-5083.11,60,11.979934
-5179.48,60,12.044949
-4936.82,60,12.160975
-5021.9,60,12.226976
-5022.3,60,12.294005
-4990.23,60,12.361022
-4992.93,60,12.480242
-5029.21,60,12.537047
-5005.71,60,12.605075
-4982.58,60,12.668075
-5092.0,60,12.731089
-5164.64,60,12.861117
-4929.03,60,12.924132
-5095.15,60,12.988145
-4935.38,60,13.058177
-5058.98,60,13.181205
-5292.04,60,13.243203
-5170.24,60,13.303216
-5080.5,60,13.370247
-4995.18,60,13.495275
-5015.04,60,13.547274
-5020.37,60,13.617288
-4975.21,60,13.680513
-5135.32,60,13.799344
-5069.0,60,13.867345
-5167.91,60,13.930373
-5082.29,60,13.992387
-4936.51,60,14.067389
-4970.83,60,14.189415
-4984.34,60,14.245556
-5002.96,60,14.312459
-5013.11,60,14.377459
-5026.48,60,14.498501
-4937.04,60,14.550513
-4973.76,60,14.600511
-4921.84,60,14.663522
-4827.33,60,14.754552
-5071.59,60,14.804564
-4909.22,60,14.855566
-5028.22,60,14.907587
-5070.92,60,14.9656
-5052.88,60,15.085634
-4994.22,60,15.15865
-4958.14,60,15.217649
-5052.01,60,15.287664
-5045.65,60,15.405706
-4890.29,60,15.464719
-4819.14,60,15.520716
-4961.44,60,15.598737
-4960.05,60,15.722762
-4993.13,60,15.782776
-4929.35,60,15.85279
-5076.73,60,15.918821
-4917.9,60,16.054836
-4897.7,60,16.112849
-4961.1,60,16.170878
-4897.46,60,16.225891
-4889.2,60,16.284904
-4845.83,60,16.383909
-5005.44,60,16.43793
-5014.73,60,16.48995
-5060.68,60,16.541962
-5055.73,60,16.634128
-4977.49,60,16.686979
-4895.71,60,16.745992
-5152.52,60,16.819008
-4980.66,60,16.952054
-5113.74,60,17.02307
-5124.93,60,17.092085
-4957.06,60,17.161101
-5034.3,60,17.293298
-4958.76,60,17.347128
-4960.45,60,17.404156
-5084.12,60,17.457153
-4885.81,60,17.520182
-5033.18,60,17.648211
-4962.64,60,17.712225
-4914.13,60,17.779295
-4875.71,60,17.835236
-4913.1,60,17.95428
-4941.62,60,18.009277
-5058.45,60,18.065289
-4896.73,60,18.139322
-4916.23,60,18.276339
-4918.3,60,18.345368
-4968.79,60,18.418493
-4901.56,60,18.484565
-4909.4,60,18.608427
-4826.55,60,18.662439
-5000.86,60,18.725438
-4890.62,60,18.788468
-4928.5,60,18.857468
-4938.57,60,18.977496
-5028.07,60,19.04651
-4972.95,60,19.129529
-4948.22,60,19.193544
-5012.64,60,19.310585
-4926.83,60,19.370599
-4977.57,60,19.439614
-4998.53,60,19.521619
-4888.02,60,19.655647
-4979.23,60,19.709689
-4905.84,60,19.768688
-4920.7,60,19.8197
-4823.29,60,19.876698
-4913.55,60,19.973735
-4952.09,60,20.04275
-4966.61,60,20.097764
-4948.55,60,20.150774
-4932.41,60,20.246782
-4979.28,60,20.299793
-4951.34,60,20.357821
-4929.61,60,20.41682
-4883.33,60,20.53186
-4914.7,60,20.587858
-4982.53,60,20.682894
-5064.74,60,20.744908
-4916.35,60,20.85692
-4906.7,60,20.916933
-4896.53,60,20.976946
-4984.74,60,21.043976
-4895.81,60,21.116979
-4966.17,60,21.236004
-5021.87,60,21.291031
-4949.58,60,21.345026
-4906.94,60,21.413043
-4957.98,60,21.510086
-4950.93,60,21.56708
-4944.65,60,21.624106
-4931.59,60,21.675102
-4954.05,60,21.800146
-4901.04,60,21.856146
-4832.25,60,21.933176
-4964.28,60,21.996178
-4854.02,60,22.134222
-4975.98,60,22.198236
-4931.25,60,22.26325
-4915.91,60,22.326251
-4984.25,60,22.395264
-4972.01,60,22.523309
-4860.89,60,22.585307
-4932.04,60,22.652339
-4910.13,60,22.718548
-4974.64,60,22.834362
-4954.51,60,22.895376
-4904.79,60,22.963408
-4956.55,60,23.040426
-4889.76,60,23.160453
-4903.87,60,23.211448
-4865.19,60,23.28248
-4964.57,60,23.336478
-4958.54,60,23.437501
-4862.76,60,23.496515
-4963.63,60,23.553526
-4935.34,60,23.617541
-4853.67,60,23.675553
-4881.94,60,23.777592
-4929.34,60,23.83059
-4865.22,60,23.888736
-4928.59,60,23.94863
-4852.26,60,24.049638
-4909.69,60,24.114667
-4921.22,60,24.166665
-4864.84,60,24.221692
-4852.01,60,24.319714
-4835.07,60,24.385728
-4852.83,60,24.441849
-4832.48,60,24.498895
-4919.04,60,24.57177
-4934.87,60,24.687782
-4829.14,60,24.74581
-4919.04,60,24.807824
-4968.49,60,24.865837
-4858.83,60,24.993951
-4945.19,60,25.053865
-4902.07,60,25.126066
-4914.09,60,25.184895
-4879.77,60,25.300935
-4894.92,60,25.354947
-4820.88,60,25.423948
-4934.82,60,25.486961
-4932.75,60,25.593992
-5011.27,60,25.658146
-4949.95,60,25.728227
-4962.37,60,25.807034
-4865.45,60,25.871063
-4986.56,60,25.982074
-4971.36,60,26.040085
-4868.55,60,26.094113
-4964.62,60,26.148126
-4966.38,60,26.261153
-4910.45,60,26.31615
-4906.32,60,26.380162
-4962.98,60,26.458179
-4889.24,60,26.581223
-4844.28,60,26.633235
-4892.17,60,26.687232
-5021.51,60,26.757246
-5003.75,60,26.888276
-4956.48,60,26.947291
-4898.6,60,27.002318
-4906.52,60,27.056316
-4982.05,60,27.111327
-4999.17,60,27.205364
-4927.47,60,27.260376
-4909.12,60,27.314388
-5016.39,60,27.371401
-4915.49,60,27.510432
-4989.92,60,27.578435
-5020.94,60,27.640445
-5004.09,60,27.706463
-4876.55,60,27.822503
-4958.78,60,27.885517
-4966.62,60,27.947516
-4932.99,60,28.01263
-4879.45,60,28.13564
-4983.11,60,28.192586
-4872.18,60,28.246595
-4908.16,60,28.306598
-4974.98,60,28.364625
-4912.27,60,28.492654
-4970.39,60,28.551667
-4865.42,60,28.614766
-4924.09,60,28.683854
-4889.71,60,28.803724
-4915.01,60,28.863722
-4961.26,60,28.929752
-4968.93,60,29.004769
-4857.88,60,29.137783
-4943.6,60,29.188793
-4837.12,60,29.239921
-4883.24,60,29.315822
-4977.84,60,29.381846
-4903.82,60,29.483877
-4942.06,60,29.550892
-4971.04,60,29.63091
-4918.21,60,29.697912
-4860.95,60,29.817953
-4955.22,60,29.890954
-4902.04,60,29.959967
-4938.34,60,30.021985
-5020.03,60,30.138024
-4964.12,60,30.19403
-4860.54,60,30.259052
-4923.44,60,30.334068
-4887.54,60,30.463186
-4958.88,60,30.513213
-4882.33,60,30.571122
-4891.51,60,30.623134
-4912.59,60,30.685148
-4892.53,60,30.78317
-4944.17,60,30.837169
-4946.09,60,30.895195
-4984.44,60,30.947192
-4865.74,60,31.047215
-4893.31,60,31.107228
-4948.17,60,31.163954
-4868.25,60,31.218982
-4879.21,60,31.31799
-4918.61,60,31.377027
-4876.84,60,31.432052
-4940.45,60,31.488172
-4976.7,60,31.607182
-4868.0,60,31.661354
-4909.8,60,31.724247
-4867.42,60,31.787945
-4894.71,60,31.844958
-4875.42,60,31.952982
-4859.9,60,32.014999
-4847.97,60,32.065995
-4875.81,60,32.127007
-5064.87,60,32.223027
-4871.62,60,32.27904
-4946.1,60,32.336056
-4907.46,60,32.398067
-4956.6,60,32.514109
-4871.23,60,32.576121
-5045.63,60,32.641122
-4975.87,60,32.709137
-4963.58,60,32.825179
-5168.03,60,32.89518
-5020.45,60,32.96221
-5053.98,60,33.031225
-5072.76,60,33.09524
-4997.55,60,33.207251
-5210.34,60,33.260269
-5189.04,60,33.317276
-4880.74,60,33.382304
-4889.17,60,33.509317
-4991.45,60,33.576334
-5104.0,60,33.637347
-4966.31,60,33.691374
-4969.2,60,33.803484
-4944.96,60,33.860396
-5011.79,60,33.925427
-5125.15,60,33.991441
-4859.74,60,34.053456
-4925.85,60,34.17647
-4942.85,60,34.239498
-4993.39,60,34.314499
-4928.2,60,34.392617
-5021.38,60,34.492554
-4990.59,60,34.553568
-4939.08,60,34.623584
-4842.54,60,34.683598
-4987.76,60,34.802624
-4952.52,60,34.852636
-5236.18,60,34.905648
-4924.62,60,34.95766
-4949.1,60,35.084688
-4871.94,60,35.146687
-4967.1,60,35.216704
-5014.71,60,35.283755
-4934.4,60,35.348755
-4944.82,60,35.460827
-4950.43,60,35.521841
-4948.23,60,35.580854
-4942.64,60,35.642871
-4937.55,60,35.771891
-4978.58,60,35.821918
-4912.6,60,35.874959
-4942.12,60,35.931972
-4960.13,60,36.025008
-4911.07,60,36.08103
-4864.56,60,36.133042
-4869.78,60,36.189054
-4926.29,60,36.316077
-4999.05,60,36.383299
-4993.72,60,36.450131
-4993.01,60,36.539148
-4925.08,60,36.602185
-4908.65,60,36.729223
-4858.5,60,36.792248
-4834.3,60,36.848246
-4881.13,60,36.905284
-4980.16,60,37.027303
-5102.02,60,37.084321
-4890.23,60,37.146336
-5187.64,60,37.20535
-4996.71,60,37.3204
-4925.65,60,37.383423
-4892.7,60,37.451422
-5006.23,60,37.515538
-4938.12,60,37.671502
-4967.98,60,37.727516
-4939.98,60,37.793523
-4992.83,60,37.846538
-4924.47,60,37.902574
-4850.81,60,37.997025
-5127.13,60,38.064055
-5105.43,60,38.120067
-5024.84,60,38.181081
-5081.26,60,38.30911
-4972.94,60,38.362108
-5054.67,60,38.41812
-4946.15,60,38.473243
-4893.74,60,38.573169
-4862.72,60,38.624181
-4889.26,60,38.700184
-4940.99,60,38.769199
-4950.65,60,38.828227
-4981.57,60,38.948254
-4978.97,60,39.002266
-4963.7,60,39.065283
-4943.19,60,39.138282
-4998.22,60,39.275328
-4950.98,60,39.341343
-5005.27,60,39.402356
-4883.32,60,39.471372
-5001.73,60,39.611408
-4905.54,60,39.678403
-5040.02,60,39.750419
-4854.31,60,39.814439
-4903.38,60,39.914472
-4892.18,60,39.971469
-4905.38,60,40.035483
-4847.08,60,40.105515
-4851.63,60,40.17153
-5083.22,60,40.307546
-5005.77,60,40.374576
-4907.04,60,40.441584
-4943.33,60,40.502598
-4867.86,60,40.618615
-5165.75,60,40.681645
-4992.74,60,40.74766
-4904.21,60,40.808673
-5109.54,60,40.925682
-4961.23,60,40.982712
-4906.26,60,41.037725
-4952.7,60,41.091737
-4903.31,60,41.190759
-4936.14,60,41.247773
-4870.16,60,41.302784
-4906.34,60,41.359797
-4872.46,60,41.417794
-5009.71,60,41.517975
-5038.31,60,41.575847
-4986.59,60,41.644862
-5035.14,60,41.709876
-5027.84,60,41.832889
-5178.88,60,41.899919
-5035.17,60,41.965926
-4879.96,60,42.032952
-5043.87,60,42.156961
-4933.67,60,42.208973
-5199.69,60,42.263001
-5092.54,60,42.320014
-5151.14,60,42.422037
-4945.31,60,42.48105
-5087.97,60,42.556054
-4948.08,60,42.622082
-4999.5,60,42.684194
-4877.67,60,42.805123
-4977.33,60,42.863136
-5183.21,60,42.920134
-4903.63,60,42.979162
-5209.96,60,43.07717
-5159.49,60,43.132196
-5078.6,60,43.188209
-5105.6,60,43.247208
-4982.15,60,43.352263
-4878.49,60,43.41126
-5034.16,60,43.473274
-4869.0,60,43.537275
-4896.27,60,43.609304
-5101.3,60,43.743319
-5361.33,60,43.804332
-5111.5,60,43.857345
-5145.04,60,43.912358
-5158.04,60,44.029399
-5067.35,60,44.088396
-5064.75,60,44.162429
-5145.55,60,44.240433
-5101.44,60,44.348456
-4865.0,60,44.398482
-4901.53,60,44.45358
-5069.26,60,44.515493
-5139.16,60,44.635535
-5183.08,60,44.692548
-5126.21,60,44.760564
-5078.22,60,44.826563
-5166.99,60,44.891593
-5124.89,60,45.006604
-5136.01,60,45.065721
-4876.87,60,45.121766
-4929.13,60,45.177643
-5007.07,60,45.294684
-5004.79,60,45.35068
-5124.88,60,45.401708
-4969.96,60,45.483726
-5066.8,60,45.626743
-5035.62,60,45.685851
-4894.0,60,45.753771
-5104.66,60,45.823803
-5047.87,60,45.955833
-4864.91,60,46.015847
-5075.33,60,46.085863
-4961.55,60,46.151877
-4923.41,60,46.222893
-5007.72,60,46.341052
-4918.8,60,46.398933
-5074.62,60,46.463947
-4899.13,60,46.530963
-5020.75,60,46.683997
-4911.36,60,46.752995
-4979.83,60,46.822028
-4956.89,60,46.894047
-4931.33,60,47.019072
-4890.62,60,47.076072
-4794.59,60,47.134083
-4847.33,60,47.198112
-4833.18,60,47.326129
-5026.61,60,47.379153
-4993.26,60,47.439152
-5037.22,60,47.504318
-5029.4,60,47.574181
-4840.93,60,47.694208
-4892.1,60,47.76124
-4961.94,60,47.819253
-4985.76,60,47.887254
-4999.09,60,48.006281
-4925.18,60,48.062309
-4981.49,60,48.127308
-5030.87,60,48.185321
-5015.08,60,48.301361
-4892.95,60,48.355373
-4967.01,60,48.409385
-4964.35,60,48.470383
-4955.07,60,48.539415
-4935.71,60,48.658441
-4919.92,60,48.718455
-4958.59,60,48.78347
-4944.78,60,48.861488
-4911.98,60,48.9765
-5012.61,60,49.039527
-4916.16,60,49.103528
-4920.12,60,49.168557
-4991.94,60,49.297571
-5057.91,60,49.350581
-4965.69,60,49.409611
-4908.02,60,49.458622
-4970.49,60,49.55963
-4946.14,60,49.617658
-5052.86,60,49.673655
-4895.61,60,49.734684
-4972.01,60,49.800699
-4941.49,60,49.916709
-5083.5,60,49.974916
-4978.56,60,50.043754
-4889.08,60,50.112769
-4947.09,60,50.227796
-5037.32,60,50.291795
-4984.23,60,50.359809
-4923.65,60,50.42584
-4949.27,60,50.548852
-5150.72,60,50.614869
-4960.18,60,50.678882
-4946.62,60,50.742911
-5016.53,60,50.87194
-5103.15,60,50.93494
-5045.06,60,51.00297
-5141.85,60,51.066025
-5076.03,60,51.133105
-5000.87,60,51.241007
-5026.6,60,51.29302
-5011.77,60,51.354049
-5039.06,60,51.424048
-4968.04,60,51.531089
-4882.26,60,51.596088
-4906.21,60,51.649111
-5001.41,60,51.700122
-4962.1,60,51.792141
-4887.25,60,51.849154
-5044.15,60,51.899165
-4966.04,60,51.951177
-5024.29,60,52.047189
-5035.81,60,52.09721
-4950.33,60,52.149221
-4901.56,60,52.200222
-4915.69,60,52.251245
-4944.55,60,52.345268
-4949.8,60,52.397278
-4993.16,60,52.448289
-5054.03,60,52.499291
-5092.13,60,52.592321
-4977.17,60,52.643332
-5050.43,60,52.695344
-5045.34,60,52.747357
-4934.53,60,52.841367
-4996.7,60,52.898392
-4949.91,60,52.957392
-4963.66,60,53.021418
-4969.49,60,53.084439
-5019.21,60,53.19645
-4978.67,60,53.255463
-5015.83,60,53.320492
-5008.37,60,53.381505
-4902.43,60,53.504618
-4994.19,60,53.56955
-4884.63,60,53.628546
-5021.16,60,53.699577
-4902.57,60,53.811602
-5007.95,60,53.865614
-4903.14,60,53.918627
-4961.84,60,53.976626
-4972.06,60,54.088665
-4984.21,60,54.14377
-5066.03,60,54.196675
-4985.3,60,54.265691
-4895.4,60,54.319701
-4930.98,60,54.416725
-5049.63,60,54.472751
-4934.73,60,54.532765
-4902.61,60,54.587778
-5020.89,60,54.683783
-4986.79,60,54.739797
-5034.3,60,54.807811
-5007.97,60,54.870841
-4965.24,60,54.988868
-4929.62,60,55.050881
-5011.25,60,55.115897
-4896.56,60,55.184912
-5019.8,60,55.313943
-5015.93,60,55.375093
-4957.52,60,55.433968
-5041.45,60,55.48898
-5017.2,60,55.542992
-5180.26,60,55.65101
-4994.88,60,55.701022
-4995.98,60,55.753033
-5052.46,60,55.804045
-5040.7,60,55.89608
-5064.74,60,55.948077
-5014.76,60,56.001275
-5083.77,60,56.053101
-5033.31,60,56.144121
-5047.85,60,56.196125
-5029.34,60,56.247136
-5034.69,60,56.297145
-5027.67,60,56.39617
-5036.76,60,56.446179
-4959.95,60,56.497191
-4968.75,60,56.550213
-4977.17,60,56.602225
-4989.06,60,56.700246
-4953.03,60,56.752258
-5034.9,60,56.80426
-4972.63,60,56.856272
-4983.3,60,56.948303
-4977.32,60,56.999314
-4996.43,60,57.050327
-5077.1,60,57.101326
-4932.91,60,57.196348
-4973.28,60,57.24837
-5012.61,60,57.299375
-5007.91,60,57.358395
-4970.82,60,57.409407
-4967.79,60,57.501427
-5016.47,60,57.553429
-4970.65,60,57.607451
-4999.56,60,57.658462
-4982.62,60,57.753616
-4975.77,60,57.806485
-5033.72,60,57.859498
-4988.97,60,57.911519
-5200.22,60,58.00254
-4956.77,60,58.054552
-4964.2,60,58.105563
-5068.94,60,58.157575
-4986.08,60,58.250683
-5064.98,60,58.301695
-4981.34,60,58.355768
-4970.97,60,58.412807
-4943.72,60,58.467645
-4993.48,60,58.562655
-4966.66,60,58.614678
-5029.37,60,58.664689
-5117.2,60,58.715701
-4900.17,60,58.821724
-5088.26,60,58.872767
-5019.34,60,58.925738
-4936.43,60,58.978888
-5025.15,60,59.072781
-4964.89,60,59.126783
-4906.8,60,59.177805
-4950.51,60,59.229816
-4893.55,60,59.323827
-4947.38,60,59.37585
-4989.09,60,59.427851
-5178.73,60,59.483961
-4957.36,60,59.535886
-4964.63,60,59.631097
-5027.78,60,59.682908
-4957.64,60,59.732919
-4980.29,60,59.783941
-5040.38,60,59.874962
-4968.45,60,59.923963
-5103.44,60,59.975976
-5145.05,60,60.025987
-5176.22,60,60.121019
-5119.9,60,60.173018
-4988.64,60,60.227031
-4938.6,60,60.285054
-4960.48,60,60.407072
-5064.05,60,60.461083
-5044.5,60,60.521097
-4952.73,60,60.573119
-5180.16,60,60.626122
-5143.55,60,60.718142
-5088.31,60,60.771264
-5106.94,60,60.821359
-5075.78,60,60.874187
-5093.11,60,60.968208
-5055.61,60,61.019219
-5038.09,60,61.074232
-5106.28,60,61.128244
-4945.5,60,61.222775
-4975.39,60,61.275812
-4910.52,60,61.328814
-4971.56,60,61.382829
-4996.48,60,61.437852
-5122.41,60,61.536878
-4972.74,60,61.596897
-4997.57,60,61.648909
-4919.19,60,61.701055
-5109.59,60,61.796963
-4971.41,60,61.847984
-5004.62,60,61.898001
-4965.42,60,61.950012
-5060.53,60,62.043048
